Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
The Mysterious Wanderer,"Reeve, Sophia",1807,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Reeve_TheMysteriousWanderer_Gutenberg.txt,http://www.gutenberg.org/ebooks/33973,,,,,,Project Gutenberg,#33973,24-Sep-10,15-Apr-17,Marc C. Orton and the Online Distributed Proofreading Team,1807,"['sanguine', 'black', 'sanguine', 'white', 'sanguine', 'red', 'sanguine', 'natural', 'sanguine', 'blackened', 'candid', 'brown']","{'sanguine': 5, 'black': 1, 'white': 1, 'red': 1, 'natural': 1, 'blackened': 1, 'candid': 1, 'brown': 1}"
"The Discarded Son, Or, Haunt Of The Banditti. A Tale","Roche, Regina Maria",1807,Romantic,Novel,Gothic,Irish,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/discardedsonorha04roch,,,,,,,,,,
"""Ballad""","Shelley, Percy Bysshe",1807,Romantic,Poetry,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,,,
"The Fatal Vow; Or, St. Michael'S Monastery","Lathom, Francis",1807,Romantic,Novel,Gothic  ,English,,"Lane, William",Minerva Press,,,Peripheral,https://en.wikipedia.org/wiki/Francis_Lathom,,,,,,,,,,,,,,,
The Witch Of Ravensworth. A Romance,"Brewer, George",1808,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Horrible Revenge, Or, The Monster Of Italy!!","Crookenden, Isaac",1808,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,,,
"The Unknown, Or, The Northern Gallery. A Romance","Lathom, Francis",1808,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
Romantic Tales,"Lewis, Matthew",1808,Romantic,Short Story Collection,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/romantictales04lewi,,,,,,,,,,
The Wild Irish Boy,"Maturin, Charles Robert",1808,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"""There Is A Secret, Find It Out!""","Meeke, Mary",1808,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Margiana, Or, Widdrington Tower. A Tale Of The Fifteenth Century","Sykes, Mrs. S",1808,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://play.google.com/store/books/details?id=6x0GAAAAQAAJ&rdid=book-6x0GAAAAQAAJ&rdot=1,,,,,,,,,,
"The Midnight Groan, Or, The Spectre Of The Chapel",unsigned,1808,Romantic,Novel,Gothic,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,,,
The Romance Of The Appennines,unsigned,1808,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"The Irish Guardian, Or, Errors Of Eccentricity","Mackenzie, Anna Maria",1809,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Manfroné, Or, The One-Handed Monk","Radcliffe, Mary Ann",1809,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,,,
