Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition
Tales Of Terror. With An Introductory Dialogue,"Lewis, Matthew",1801,Romantic,Short Story Collection,Gothic,English,,,,,,Central,"Norton, Gothic Readings",,,,,http://search.lib.virginia.edu/catalog/uva-lib:1114407,,,,,,,,
The Infernal Quixote. A Tale Of The Day,"Lucas, Charles",1801,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/infernalquixote00lucagoog,,,,,,,,
"Koenigsmark, The Robber, Or, The Terror Of Bohemia","Sarrett, Victor Jules",1801,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Haunted Palace, Or, The Horrors Of Ventoliene. A Romance.","Yorke, Mrs. R. M. P.",1801,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/hauntedpalaceor01yorkgoog,,,,,,,,
"The Romance Of Smyrna, Or, The Predictions Fulfilled!!!","Yorke, Mrs. R. M. P.",1801,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Review Of Lewis'S Tales Of Wonder,Anonymous,1801,Romantic,Theory & Criticism,Criticism,,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
"""Novels And Romances""","""Rimelli""",1802,Romantic,Theory & Criticism,Criticism,,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
Le Forester. A Novel,"Brydges, Sir Samuel Egerton",1802,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Astonishment!!! A Romance Of A Century Ago,"Lathom, Francis",1802,Romantic,Novel,Gothic  ,English,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Midnight Weddings. A Novel,"Meeke, Elizabeth (Mary)",1802,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Theodosius De Zulvin, The Monk Of Madrid. A Spanish Tale, Delineating Various Traits Of The Human Mind","Moore, George",1802,Romantic,Novel,Gothic,,,"Robinson, G. and J.",,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"James Mitan created a series of engravings illustrating the novel, exhibited at the Royal Academy in 1802-1805 (https://en.wikipedia.org/wiki/James_Mitan)",,,,,,
"""On The Supernatural In Poetry""","Radcliffe, Ann",1802,Romantic,Theory & Criticism,Literary Theory,English,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
"Who's The Murderer? Or, The Mystery Of The Forest","Sleath, Eleanor",1802,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Cavern Of Horrors, Or, Miseries Of Miranda. A Neapolitan Tale",unsigned,1802,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=-VQHAAAAQAAJ&printsec=frontcover#v=onepage&q&f=false,,,,,,,,
Romance Of The Pyrenees,"Cuthbertson, Catherine",1803,Romantic,Novel,Gothic,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,https://archive.org/details/romanceofpyrenee01cuth,,,,,,,,
The Three Brothers. A Romance,"Pickersgill, Joshua, Jr.",1803,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/threebrothersar00pickgoog,,,,,,,,
Flowers Of Literature,Rev. F. Prevost and F. Blagdon,1803,Romantic,Theory & Criticism,Criticism,,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
The Three Ghosts Of The Forest. A Tale Of Horror. An Original Romance,unsigned,1803,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Don Raphael. A Romance,"Walker, George",1803,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/donraphaelromanc02walk,,,,,,,,
"Story Of Morella De Alto, Or, The Crimes Of Scorpino Developed","Crookenden, Isaac",1804,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,
"The Watch Tower, Or, The Sons Of Ulthona. An Historical Romance","Curties, T. J. Horsley",1804,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"""A Village Circulating Library""","Dibdin, Charles",1804,Romantic,Theory & Criticism,Criticism,English,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
"Literary Hours, Or Sketches Critical, Narrative, And Poetical","Drake, Nathan",1804,Romantic,Theory & Criticism,Gothic,English,,,,,,,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/literaryhoursor02drakgoog,,,,,,,,
"""The Abbey Of Clunedale""","Drake, Nathan",1804,Romantic,Short Story,Gothic,English,,,,,,Peripheral,"Snodgrass, Encyclopedia of Gothic Literature",,,,,,,,,,,,,
"""The Spectre""","Drake, Nathan",1804,Romantic,Short Story,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,
"""Sir Egbert""","Drake, Nathan",1804,Romantic,Short Story,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,
The Nightwatches Of Bonaventura,unsigned,1804,German Romantic,Novel,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,
"The Knights Of Calatrava, Or, Days Of Chivalry","Wilkinson, Sarah",1804,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The World We Live In. A Novel,"Williams, William Frederick",1804,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Skeleton, Or, Mysterious Discovery. A Gothic Romance","Crookenden, Isaac",1805,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,
Confessions Of The Nun Of St. Omer. A Tale,"Dacre, Charlotte",1805,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Hours Of Solitude,"Dacre, Charlotte",1805,Romantic,Poetry Collection,Gothic,English,,,,,,Peripheral,Caroline,Dacre_HoursOfSolitude_BRWP.txt,http://digital.lib.ucdavis.edu/projects/bwrp/Works/DacrCHours2.htm,,,,,,British Women Romantic Poets Project,DacrCHours2,,,"Payne, Charlotte","London, 1805"
"Fleetwood, Or, The New Man Of Feeling","Godwin, William",1805,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/fleetwoodornewm02godwgoog,https://en.wikipedia.org/wiki/Fleetwood_(novel),,,,,,,
"Gondez, The Monk. A Romance Of The Thirteenth Century","Ireland, William Henry",1805,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/gondezmonk00irelgoog,,,,,,,,
The Bravo Of Venice,"Lewis, Matthew",1805,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/bravovenicearom01lewigoog,,,,,,,,
The Idiot Heiress. A Novel,unsigned,1805,Romantic,Novel,Gothic,,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Water Spectre, Or, An Brtach","Wilkinson, Sarah",1805,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Inpenetrable Secret, Find It Out!","Lathom, Francis",1805,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,https://en.wikipedia.org/wiki/Francis_Lathom,,,,,http://archive.org/stream/impenetrablesec00lathgoog#page/n6/mode/2up,,,,,,,,
"The Vindictive Monk, Or The Fatal Ring","Crookenden, Isaac",1805,Romantic,Novel,Gothic,English,,,,,,Peripheral,,,,,,http://epublications.marquette.edu/cgi/viewcontent.cgi?article=1029&context=english_gothic,,,,,,,,
Secrets Of The Castle,"Carey, David",1806,Romantic,Novel,Gothic,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,
"Fatal Secrets, Or, Etherlinda De Salmoni. A Sicilian Story","Crookenden, Isaac",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,
"The Mysterious Murder, Or, The Usurper Of Naples. An Original Romance. To Which Is Prefixed The Nocturnal Assassin, Or, Spanish Jealousy","Crookenden, Isaac",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,
"St. Boltoph'S Priory, Or, The Sable Mask. An Historical Romance","Curties, T. J. Horsley",1806,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Zofloya, Or, The Moor. A Romance Of The Fifteenth Century","Dacre, Charlotte",1806,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",,,,,,,,,,,,,
The Forest Of St. Bernardo,"Hamilton, Ann Mary",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Mysterious Freebooter, Or, The Days Of Queen Bess. A Romance","Lathom, Francis",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=9H4jT25HBhUC&redir_esc=y,,,,,,,,
"The Invisible Enemy, Or, The Mines Of Wielitska. A Polish Legendary Romance","Lathy, Thomas Pike",1806,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/mysteriousfreeb01lathgoog,,,,,,,,
"Feudal Tyrants, Or, The Counts Of Carlsheim And Sargans. A Romance. Taken From The German","Lewis, Matthew",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/feudaltyrantsorc01lewi,,,,,,,,
The Novice Of Saint Dominick,"Owenson, Sydney",1806,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Norton, Gothic Readings",,,,,https://play.google.com/store/books/details?id=KyPRRCVWjqUC&rdid=book-KyPRRCVWjqUC&rdot=1,,,,,,,,
"Montbrasil Abbey, Or, Maternal Traits. A Tale","Stanhope, Louisa Sidney",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Two Girls Of Eighteen,"Walker, George",1806,Romantic,Novel,Gothic,English,,,,,,Peripheral,https://en.wikipedia.org/wiki/George_Walker_(novelist),,,,,,,,,,,,,
The Monk Of Udolpho,"Curties, T. J. Horsley",1807,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The Libertine,"Dacre, Charlotte",1807,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Wood Daemon, Or, ""The Clock Has Struck""","Lewis, Matthew",1807,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Fatal Revenge, Or, The Family Of Montorio. A Romance","Maturin, Charles Robert",1807,Romantic,Novel,Gothic,Irish,"Murphy, Dennis Jasper",,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/fatalrevengeorfa03matu,,,,,,,,
The Demon Of Sicily,"Montague, Edward",1807,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/demonsicily03montgoog,,,,,,,,
The Mysterious Wanderer,"Reeve, Sophia",1807,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Reeve_TheMysteriousWanderer_Gutenberg.txt,http://www.gutenberg.org/ebooks/33973,,,,,,Project Gutenberg,#33973,24-Sep-10,15-Apr-17,Marc C. Orton and the Online Distributed Proofreading Team,1807
"The Discarded Son, Or, Haunt Of The Banditti. A Tale","Roche, Regina Maria",1807,Romantic,Novel,Gothic,Irish,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/discardedsonorha04roch,,,,,,,,
"""Ballad""","Shelley, Percy Bysshe",1807,Romantic,Poetry,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,
"The Fatal Vow; Or, St. Michael'S Monastery","Lathom, Francis",1807,Romantic,Novel,Gothic  ,English,,"Lane, William",Minerva Press,,,Peripheral,https://en.wikipedia.org/wiki/Francis_Lathom,,,,,,,,,,,,,
The Witch Of Ravensworth. A Romance,"Brewer, George",1808,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Horrible Revenge, Or, The Monster Of Italy!!","Crookenden, Isaac",1808,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,
"The Unknown, Or, The Northern Gallery. A Romance","Lathom, Francis",1808,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Romantic Tales,"Lewis, Matthew",1808,Romantic,Short Story Collection,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/romantictales04lewi,,,,,,,,
The Wild Irish Boy,"Maturin, Charles Robert",1808,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"""There Is A Secret, Find It Out!""","Meeke, Mary",1808,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Margiana, Or, Widdrington Tower. A Tale Of The Fifteenth Century","Sykes, Mrs. S",1808,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://play.google.com/store/books/details?id=6x0GAAAAQAAJ&rdid=book-6x0GAAAAQAAJ&rdot=1,,,,,,,,
"The Midnight Groan, Or, The Spectre Of The Chapel",unsigned,1808,Romantic,Novel,Gothic,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,
The Romance Of The Appennines,unsigned,1808,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Irish Guardian, Or, Errors Of Eccentricity","Mackenzie, Anna Maria",1809,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Manfroné, Or, The One-Handed Monk","Radcliffe, Mary Ann",1809,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,
The Son In The Storm. A Tale,"Siddons, Henry",1809,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Sir Francis Darrell, Or, The Vortex. A Novel","Dallas, Robert Charles",1810,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://play.google.com/store/books/details?id=gbgBAAAAQAAJ&rdid=book-gbgBAAAAQAAJ&rdot=1,,,,,,,,
"Fatal Vows, Or, The False Monk. A Romance","Lathom, Francis",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=tNA_AQAAMAAJ&pg=PA225&lpg=PA225&dq=%22fatal+vows%22+francis+lathom&source=bl&ots=E9UdFFbd6b&sig=63gxbjFyoM07uXGWZmAWnCdmKHo&hl=en&sa=X&ved=0ahUKEwjU5_-5uKrTAhWJhVQKHYeJAkoQ6AEIKDAB#v=onepage&q&f=false,,,,,,,,
"A Suffolk Tale, Or, The Perfidious Guardian","Roche, John Hamilton",1810,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/suffolktaleorper01roch,,,,,,,,
Review Of Maturin'S Fatal Revenge,"Scott, Sir Walter",1810,Romantic,Theory & Criticism,Review,Scottish,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
Zastrozzi. A Romance,"Shelley, Percy",1810,Romantic,Novella,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyPercy_Zastrozzi_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606461h.html,,,,https://en.wikipedia.org/wiki/Zastrozzi,,Project Gutenberg Australia,0606461h.html,Aug-06,21-Mar-17,"Scott, Richard",
"The Nocturnal Minstrel, Or, The Spirit Of The Wood","Sleath, Eleanor",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/nocturnalminstr00sleagoog,,,,,,,,
"""The Vampyre""","Stagg, John",1810,Romantic,Poetry,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",Stagg_TheVampyre_PoetsOrg.txt,https://www.poets.org/print/node/51018,,,,,,,,,,,
"Di Montranzo, Or, The Novice Of Corpus Domini. A Romance","Stanhope, Louisa Sidney",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://play.google.com/store/books/details?id=QSgGAAAAQAAJ&rdid=book-QSgGAAAAQAAJ&rdot=1,,,,,,,,
"""The Beggarwoman Of Locrano""","von Kleist, Heinrich",1810,German Romantic,Short Story,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,vonKleist_TheBeggarwomanOfLocarno_.txt,http://germanstories.vcu.edu/kleist/bettelweib_e.html,,"Bennett, E. K. ",,,,"Virginia Commonwealth University, 19th Century German Stories",,1999,16-Apr-17,"Godwin-Jones, Robert",
The Refusal. A Novel,"West, Jane",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://play.google.com/store/books/details?id=KR4GAAAAQAAJ&rdid=book-KR4GAAAAQAAJ&rdot=1,,,,,,,,
"""To Make A Novel""",Anonymous,1810,Romantic,Poetry,Gothic Parody,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,
"The Age; A Poem, Moral, Political, And Metaphysical",Anonymous,1810,Romantic,Poetry,Gothic,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,https://play.google.com/store/books/details?id=aswIAAAAQAAJ&rdid=book-aswIAAAAQAAJ&rdot=1,,,,,,,,
